"Ativo","Data","Patrim Liq| Em moeda orig| em milhares| consolid:sim*"
"AESB3<XBSP>","3T2017",1563474
"AESB3<XBSP>","4T2017",1557690
"AESB3<XBSP>","1T2018",1612175
"AESB3<XBSP>","2T2018",1587015
"AESB3<XBSP>","3T2018",1520014
"AESB3<XBSP>","4T2018",1523474
"AESB3<XBSP>","1T2019",1578462
"AESB3<XBSP>","2T2019",1466649
"AESB3<XBSP>","3T2019",1529330
"AESB3<XBSP>","4T2019",1451170
"AESB3<XBSP>","1T2020",1526701
"AESB3<XBSP>","2T2020",1556796
"AESB3<XBSP>","3T2020",1377601
"AESB3<XBSP>","4T2020",1842458
"AESB3<XBSP>","1T2021",1872990
"AESB3<XBSP>","2T2021",1797108
"AESB3<XBSP>","3T2021",2223479
"AESB3<XBSP>","4T2021",3223075
"AESB3<XBSP>","1T2022",3263941
"AESB3<XBSP>","2T2022",3274146
"AESB3<XBSP>","3T2022",4175175
"AESB3<XBSP>","4T2022",4391178
"AESB3<XBSP>","1T2023",4401583
"AESB3<XBSP>","2T2023",4404140
"AESB3<XBSP>","3T2023",4469481
"AESB3<XBSP>","4T2023",4518967
"AESB3<XBSP>","1T2024",4394454
"AESB3<XBSP>","2T2024",4262700
"AESO3<XBSP>","1T2010","-"
"AESO3<XBSP>","2T2010","-"
"AESO3<XBSP>","3T2010","-"
"AESO3<XBSP>","4T2010","-"
"AESO3<XBSP>","1T2011","-"
"AESO3<XBSP>","2T2011","-"
"AESO3<XBSP>","3T2011","-"
"AESO3<XBSP>","4T2011","-"
"AESO3<XBSP>","1T2012","-"
"AESO3<XBSP>","2T2012","-"
"AESO3<XBSP>","3T2012","-"
"AESO3<XBSP>","4T2012","-"
"AESO3<XBSP>","1T2013","-"
"AESO3<XBSP>","2T2013","-"
"AESO3<XBSP>","3T2013","-"
"AESO3<XBSP>","4T2013","-"
"AESO3<XBSP>","1T2014","-"
"AESO3<XBSP>","2T2014","-"
"AESO3<XBSP>","3T2014","-"
"AESO3<XBSP>","4T2014","-"
"AESO3<XBSP>","1T2015","-"
"AESO3<XBSP>","2T2015","-"
"AESO3<XBSP>","3T2015","-"
"AESO3<XBSP>","4T2015","-"
"AESO3<XBSP>","1T2016","-"
"AESO3<XBSP>","2T2016","-"
"AESO3<XBSP>","3T2016","-"
"AESO3<XBSP>","4T2016","-"
"AESO3<XBSP>","1T2017","-"
"AESO3<XBSP>","2T2017","-"
"AESO3<XBSP>","3T2017","-"
"AESO3<XBSP>","4T2017","-"
"AESO3<XBSP>","1T2018","-"
"AESO3<XBSP>","2T2018","-"
"AESO3<XBSP>","3T2018","-"
"AESO3<XBSP>","4T2018","-"
"AESO3<XBSP>","1T2019","-"
"AESO3<XBSP>","2T2019","-"
"AESO3<XBSP>","3T2019","-"
"AESO3<XBSP>","4T2019","-"
"AESO3<XBSP>","1T2020","-"
"AESO3<XBSP>","2T2020","-"
"AESO3<XBSP>","3T2020","-"
"AESO3<XBSP>","4T2020","-"
"AESO3<XBSP>","1T2021","-"
"AESO3<XBSP>","2T2021","-"
"AESO3<XBSP>","3T2021","-"
"AESO3<XBSP>","4T2021",3202404
"AESO3<XBSP>","1T2022",3249132
"AESO3<XBSP>","2T2022",3267053
"AESO3<XBSP>","3T2022",3230234
